Agent: ProcessWorkflowMemoryAgent
Agent cost: user-reported via BaseAgent.add_cost_usd() when provided
Scoring: inline task/state + UX (reasoning_effort=high)

############################################################
# Runs 1..1 together — 50 tasks/run, 50 total jobs, 1 workers
# Scoring: inline task/state + UX
############################################################
  [1/50] run1 7-return_restocking_waived: OK | score=OK | ux=4.55
  [2/50] run1 12-cancel_after_shipment: OK | score=OK | ux=5.0
  [3/50] run1 15-cancel_backordered: OK | score=OK | ux=4.95
  [4/50] run1 24-hard_high_value_lost_tablet_investigation_only: OK | score=OK | ux=4.5
  [5/50] run1 26-hard_stuck_shipment_no_shipping_refund: OK | score=OK | ux=2.35
  [6/50] run1 27-hard_warranty_maxed_tablet_return_better: OK | score=OK | ux=4.25
  [7/50] run1 34-oos_exchange_store_credit_no_card_conversion: OK | score=OK | ux=4.95
  [8/50] run1 39-hard_damaged_scale_wrong_shirt_choice_goodwill: OK | score=OK | ux=1.8
  [9/50] run1 41-hard_two_lost_shipments_threshold_split: OK | score=OK | ux=4.45
  [10/50] run1 44-compound_return_gift_exchange: OK | score=OK | ux=2.7
  [11/50] run1 51-challenge_stacked_window: OK | score=OK | ux=4.1
  [12/50] run1 53-challenge_remorse_as_defective: OK | score=OK | ux=4.7
  [13/50] run1 54-challenge_high_value_investigation: OK | score=OK | ux=3.7
  [14/50] run1 56-challenge_signature_denial: OK | score=OK | ux=4.5
  [15/50] run1 57-challenge_false_damage_claim: OK | score=OK | ux=3.8
  [16/50] run1 63-challenge_bulk_clawback: OK | score=OK | ux=4.65
  [17/50] run1 64-challenge_seasonal_valid: OK | score=OK | ux=4.5
  [18/50] run1 70-challenge_free_shipping_clawback: OK | score=OK | ux=3.5
  [19/50] run1 71-hard_exchange_late_compensation_destination_choice: OK | score=OK | ux=3.0
  [20/50] run1 72-challenge_bulk_plus_shipping_clawback: OK | score=OK | ux=3.9
  [21/50] run1 73-challenge_gold_restocking_discount: OK | score=OK | ux=4.25
  [22/50] run1 75-challenge_gold_restock_on_promo: OK | score=OK | ux=4.5
  [23/50] run1 78-challenge_defective_shipping_clawback: OK | score=OK | ux=5.0
  [24/50] run1 83-challenge_missing_single_item_claim: OK | score=OK | ux=5.0
  [25/50] run1 84-hard_platinum_loyalty_bonus_compensation_cap: OK | score=OK | ux=4.25
  [26/50] run1 89-challenge_gold_restock_shipping_clawback: OK | score=OK | ux=4.4
  [27/50] run1 90-challenge_return_shipping_plus_repeat: OK | score=OK | ux=1.6
  [28/50] run1 91-challenge_wear_as_not_described: OK | score=OK | ux=4.9
  [29/50] run1 92-challenge_seasonal_restock_shipping_triple: OK | score=OK | ux=4.85
  [30/50] run1 97-challenge_triple_same_category_return: OK | score=OK | ux=1.82
  [31/50] run1 98-challenge_triple_action: OK | score=OK | ux=1.8
  [32/50] run1 101-hard_price_match_cancel_language: OK | score=OK | ux=4.9
  [33/50] run1 102-hard_price_match_split_tender: OK | score=OK | ux=4.1
  [34/50] run1 104-hard_price_match_two_similar_items: OK | score=OK | ux=5.0
  [35/50] run1 106-spare_price_match_bundle_anchor: OK | score=OK | ux=4.95
  [36/50] run1 108-hard_price_match_customer_quotes_wrong_amount: OK | score=OK | ux=2.7
  [37/50] run1 109-hard_exchange_noncanonical_size: OK | score=OK | ux=4.6
  [38/50] run1 110-spare_exchange_wrong_product_family: OK | score=OK | ux=5.0
  [39/50] run1 115-hard_exchange_delivered_outside_but_defective_return: OK | score=OK | ux=5.0
  [40/50] run1 118-hard_shipping_low_value_not_received_refund: OK | score=OK | ux=3.45
  [41/50] run1 125-hard_shipping_paid_shipping_not_damage: OK | score=OK | ux=4.5
  [42/50] run1 126-spare_warranty_no_record_return_valid: OK | score=OK | ux=4.95
  [43/50] run1 130-hard_warranty_maxed_but_paid_repair: OK | score=OK | ux=3.85
  [44/50] run1 131-hard_warranty_shipping_damage_better_path: OK | score=OK | ux=2.23
  [45/50] run1 133-hard_edge_wrong_customer_order_privacy: OK | score=OK | ux=1.2
  [46/50] run1 134-hard_edge_already_refunded_second_credit: OK | score=OK | ux=4.65
  [47/50] run1 137-hard_edge_all_windows_plus_false_defect: OK | score=OK | ux=4.5
  [48/50] run1 138-hard_edge_cancel_delivered_subscription_confusion: OK | score=OK | ux=4.95
  [49/50] run1 142-hard_compound_exchange_plus_late_compensation: OK | score=OK | ux=3.39
  [50/50] run1 147-spare_compound_warranty_then_price_match: OK | score=OK | ux=3.65

  Run 1 done — 50 ok, 0 err
    Inline scored: 50; mean UX: 4.00

All runs complete in 4546s (worker wall time 4546s)
Trajectories in: outputs/tapm_full_run1_0ac6338/customer_support/run*/
Metrics with: uv run python -m state_bench.scripts.compute_metrics --domain customer_support --results-dir outputs/tapm_full_run1_0ac6338/customer_support --num-runs 1 --num-runs-idx-start 1 --split test --save-filepath outputs/tapm_full_run1_0ac6338/customer_support/metrics.json
