Agent: ProcessWorkflowMemoryAgent
Agent cost: user-reported via BaseAgent.add_cost_usd() when provided
Scoring: inline task/state + UX (reasoning_effort=high)

############################################################
# Runs 1..1 together — 50 tasks/run, 50 total jobs, 1 workers
# Scoring: inline task/state + UX
############################################################
  [1/50] run1 4-strategy_cancel_rebook_cheaper_user_baits_change_state: OK | score=OK | ux=3.3
  [2/50] run1 6-cancel_within_free_window_intl: OK | score=OK | ux=4.28
  [3/50] run1 9-strategy_insured_cancel_free_user_baits_change_state: OK | score=OK | ux=3.6
  [4/50] run1 12-change_fabricated_weather_disruption_refuse_fee_state: OK | score=OK | ux=1.3
  [5/50] run1 13-change_fabricated_airline_cancellation_refuse_fee_state: OK | score=OK | ux=1.4
  [6/50] run1 16-policy_insurance_cancel_not_change: OK | score=OK | ux=3.65
  [7/50] run1 23-policy_upgrade_basic_blocked: OK | score=OK | ux=4.7
  [8/50] run1 30-cross_cancel_flight_and_hotel: OK | score=OK | ux=2.7
  [9/50] run1 31-cross_cancel_full_trip: OK | score=OK | ux=1.97
  [10/50] run1 33-cascade_change_and_add_bags: OK | score=OK | ux=4.7
  [11/50] run1 35-cross_plan_trip_international: OK | score=OK | ux=4.33
  [12/50] run1 37-compound_one_leg_military_free_one_leg_delay_not_free_state: OK | score=OK | ux=1.85
  [13/50] run1 38-compound_user_anchors_free_delay_change_plus_partial_bag_state: OK | score=OK | ux=1.9
  [14/50] run1 39-compound_intl_delay_not_free_plus_partial_bag_plus_insurance_drop_state: OK | score=OK | ux=1.0
  [15/50] run1 43-delay_proactive_rebook_cheaper_near_same_time_state: OK | score=OK | ux=1.72
  [16/50] run1 46-adversarial_impatient_booking: OK | score=OK | ux=4.0
  [17/50] run1 48-cancel_hotel_proactively_cancel_car: OK | score=OK | ux=4.0
  [18/50] run1 50-adversarial_mind_change: OK | score=OK | ux=4.8
  [19/50] run1 51-challenge_chained_changes: OK | score=OK | ux=3.04
  [20/50] run1 52-challenge_insurance_cancel_rebook: OK | score=OK | ux=3.1
  [21/50] run1 54-challenge_points_dual_rate: OK | score=OK | ux=3.84
  [22/50] run1 57-challenge_earlier_flight_timing: OK | score=OK | ux=1.65
  [23/50] run1 59-challenge_premature_cancel_commitment: OK | score=OK | ux=1.85
  [24/50] run1 63-challenge_canada_international: OK | score=OK | ux=4.63
  [25/50] run1 67-challenge_7day_boundary_medical: OK | score=OK | ux=4.35
  [26/50] run1 74-challenge_insurance_no_change_fee_waiver: OK | score=OK | ux=4.4
  [27/50] run1 76-challenge_triple_policy_interaction: OK | score=OK | ux=1.6
  [28/50] run1 78-challenge_schedule_change_misinterpretation: OK | score=OK | ux=3.85
  [29/50] run1 81-challenge_same_route_different_fee_tiers: OK | score=OK | ux=4.8
  [30/50] run1 82-challenge_yyze_bereavement_intl_rate: OK | score=OK | ux=4.7
  [31/50] run1 90-challenge_second_change_cumulative_with_dates: OK | score=OK | ux=2.0
  [32/50] run1 91-challenge_intl_gt7d_medical_fee: OK | score=OK | ux=4.3
  [33/50] run1 93-challenge_one_day_apart_different_fee_tier: OK | score=OK | ux=4.66
  [34/50] run1 94-challenge_bereavement_discount_direction: OK | score=OK | ux=3.45
  [35/50] run1 99-challenge_same_medical_different_routes: OK | score=OK | ux=5.0
  [36/50] run1 102-change_business_domestic_fare_diff_only: OK | score=OK | ux=4.4
  [37/50] run1 105-change_international_gt7d_personal_fee_tier: OK | score=OK | ux=3.88
  [38/50] run1 107-change_international_jury_duty_zero_fee: OK | score=OK | ux=4.5
  [39/50] run1 108-change_domestic_gt7d_medical_discount: OK | score=OK | ux=2.45
  [40/50] run1 115-policy_cancel_keep_trip_loss_compare: OK | score=OK | ux=3.15
  [41/50] run1 116-policy_upgrade_with_current_price_paid_anchor: OK | score=OK | ux=5.0
  [42/50] run1 117-policy_baggage_same_user_two_tiers: OK | score=OK | ux=5.0
  [43/50] run1 126-cross_plan_add_flights_to_existing_ground_trip: OK | score=OK | ux=3.0
  [44/50] run1 127-strategy_medical_domestic_change_cheaper: OK | score=OK | ux=3.85
  [45/50] run1 132-strategy_weather_domestic_change_cheaper: OK | score=OK | ux=3.42
  [46/50] run1 134-strategy_medical_international_change_cheaper: OK | score=OK | ux=3.9
  [47/50] run1 136-strategy_jury_duty_domestic_change_cheaper: OK | score=OK | ux=3.95
  [48/50] run1 141-strategy_schedule_change_domestic_change_cheaper: OK | score=OK | ux=4.45
  [49/50] run1 142-strategy_personal_international_change_cheaper_far_out: OK | score=OK | ux=3.95
  [50/50] run1 147-strategy_bereavement_domestic_change_cheaper_same_route: OK | score=OK | ux=4.4

  Run 1 done — 50 ok, 0 err
    Inline scored: 50; mean UX: 3.51

All runs complete in 6373s (worker wall time 6373s)
Trajectories in: outputs/tapm_full_run1_0ac6338/travel/run*/
Metrics with: uv run python -m state_bench.scripts.compute_metrics --domain travel --results-dir outputs/tapm_full_run1_0ac6338/travel --num-runs 1 --num-runs-idx-start 1 --split test --save-filepath outputs/tapm_full_run1_0ac6338/travel/metrics.json
